Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
219, 1873362.00, 8881430.00, 8535424.00,26, 22676
220, 1873356.00, 8881436.00, 8535381.00,26, 22780
221, 1873345.00, 8881454.00, 8535255.00,26, 22885
222, 1873309.00, 8881492.00, 8535058.00,26, 22989
223, 1873261.00, 8881427.00, 8535134.00,26, 23094
224, 1873203.00, 8881302.00, 8535238.00,26, 23198
225, 1873197.00, 8881388.00, 8535373.00,26, 23303
226, 1873215.00, 8881434.00, 8535494.00,26, 23407
227, 1873198.00, 8881386.00, 8535345.00,26, 23512
228, 1873220.00, 8881329.00, 8535392.00,26, 23616
229, 1873211.00, 8881375.00, 8535230.00,26, 23721
230, 1873255.00, 8881385.00, 8535371.00,26, 23825
231, 1873181.00, 8881358.00, 8535208.00,26, 23930
232, 1873101.00, 8881256.00, 8535146.00,26, 24034
233, 1873169.00, 8881235.00, 8535300.00,26, 24139
234, 1873184.00, 8881192.00, 8535439.00,26, 24243
235, 1873153.00, 8881241.00, 8535501.00,26, 24348
236, 1873135.00, 8881319.00, 8535309.00,26, 24452
237, 1873142.00, 8881284.00, 8535319.00,26, 24557
238, 1873115.00, 8881242.00, 8535387.00,26, 24661
239, 1873113.00, 8881132.00, 8535273.00,26, 24766
240, 1873070.00, 8881197.00, 8535300.00,26, 24870
241, 1873074.00, 8881175.00, 8535371.00,26, 24975
242, 1873103.00, 8881206.00, 8535412.00,26, 25079
243, 1873140.00, 8881239.00, 8535260.00,26, 25184
244, 1873082.00, 8881235.00, 8535413.00,26, 25288
245, 1873039.00, 8881187.00, 8535319.00,26, 25393
246, 1873053.00, 8881131.00, 8535400.00,26, 25497
247, 1873156.00, 8880851.00, 8536193.00,26, 25602
248, 1873203.00, 8880280.00, 8537141.00,26, 25706
249, 1873186.00, 8880357.00, 8536544.00,26, 25811
250, 1873203.00, 8880372.00, 8536649.00,26, 25915
251, 1873215.00, 8880058.00, 8537465.00,26, 26020
252, 1873292.00, 8879644.00, 8538416.00,26, 26124
253, 1873350.00, 8879457.00, 8538813.00,26, 26229
254, 1873473.00, 8879086.00, 8539352.00,26, 26333
255, 1873601.00, 8878568.00, 8540452.00,26, 26438
256, 1873749.00, 8878069.00, 8541282.00,26, 26542
257, 1873953.00, 8877072.00, 8540998.00,26, 26647
258, 1874062.00, 8876793.00, 8541534.00,26, 26751
259, 1874147.00, 8876144.00, 8542568.00,26, 26856
260, 1874111.00, 8876248.00, 8541223.00,26, 26960
261, 1874309.00, 8875802.00, 8541171.00,26, 27065
262, 1874471.00, 8874915.00, 8543293.00,26, 27169
263, 1875051.00, 8873844.00, 8552648.00,26, 27274
264, 1876417.00, 8869847.00, 8560195.00,26, 27378
265, 1878115.00, 8856840.00, 8562600.00,26, 27483
266, 1888617.00, 8804236.00, 8575232.00,26, 27587
267, 1899998.00, 8746672.00, 8582048.00,26, 27692
268, 1901085.00, 8739816.00, 8579818.00,26, 27796
