Date: 20.2.2020 , In use by: Mena
Daytime: 11:21:7, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:21:20
286, 1625982.00, 9775482.00, 8580773.00,25, 29704
287, 1625951.00, 9775295.00, 8580754.00,25, 29809
288, 1625912.00, 9774811.00, 8580795.00,25, 29913
289, 1625744.00, 9774740.00, 8580833.00,25, 30018
290, 1625489.00, 9774753.00, 8580745.00,25, 30122
291, 1625179.00, 9774804.00, 8580751.00,25, 30227
292, 1624981.00, 9774802.00, 8580686.00,25, 30332
293, 1624937.00, 9774836.00, 8580580.00,25, 30436
294, 1624964.00, 9774829.00, 8580685.00,25, 30541
295, 1624937.00, 9774830.00, 8580612.00,25, 30645
296, 1624828.00, 9775003.00, 8580708.00,25, 30750
297, 1624661.00, 9775134.00, 8580744.00,25, 30855
298, 1624487.00, 9775382.00, 8580652.00,25, 30959
299, 1624297.00, 9775607.00, 8580699.00,25, 31064
300, 1624043.00, 9775788.00, 8580727.00,25, 31168
301, 1623816.00, 9775879.00, 8580701.00,25, 31273
302, 1623731.00, 9775866.00, 8580629.00,25, 31378
303, 1623654.00, 9775827.00, 8580664.00,25, 31482
304, 1623594.00, 9775537.00, 8580665.00,25, 31587
305, 1623596.00, 9775301.00, 8580677.00,25, 31691
306, 1623623.00, 9775131.00, 8580776.00,25, 31796
307, 1623500.00, 9775062.00, 8580739.00,25, 31901
308, 1623235.00, 9774975.00, 8580628.00,25, 32005
309, 1623055.00, 9774987.00, 8580688.00,25, 32110
310, 1622949.00, 9774951.00, 8580729.00,25, 32214
311, 1622889.00, 9774954.00, 8580714.00,25, 32319
312, 1622878.00, 9774989.00, 8580703.00,25, 32424
313, 1622870.00, 9775001.00, 8580717.00,25, 32528
314, 1622813.00, 9775061.00, 8580669.00,25, 32633
315, 1622720.00, 9775137.00, 8580781.00,25, 32737
316, 1622628.00, 9775317.00, 8580690.00,25, 32842
317, 1622451.00, 9775567.00, 8580725.00,25, 32947
318, 1622205.00, 9775825.00, 8580744.00,25, 33051
319, 1622008.00, 9775964.00, 8580711.00,25, 33156
320, 1621830.00, 9775941.00, 8580702.00,25, 33260
321, 1621711.00, 9775891.00, 8580726.00,25, 33365
322, 1621652.00, 9775764.00, 8580709.00,25, 33470
323, 1621641.00, 9775620.00, 8580678.00,25, 33574
324, 1621638.00, 9775366.00, 8580707.00,25, 33679
325, 1621498.00, 9775138.00, 8580688.00,25, 33783
326, 1621281.00, 9775114.00, 8580694.00,25, 33888
327, 1621029.00, 9775138.00, 8580651.00,25, 33992
328, 1620994.00, 9775023.00, 8580716.00,25, 34097
329, 1621043.00, 9774999.00, 8580654.00,25, 34202
330, 1621003.00, 9775086.00, 8580666.00,25, 34306
331, 1621045.00, 9775104.00, 8580742.00,25, 34411
332, 1620997.00, 9775042.00, 8581268.00,25, 34515
333, 1620749.00, 9775192.00, 8581418.00,25, 34620
334, 1620588.00, 9775407.00, 8581787.00,25, 34725
335, 1620435.00, 9775576.00, 8581985.00,25, 34829
336, 1620108.00, 9775909.00, 8582643.00,25, 34934
337, 1620160.00, 9775595.00, 8581750.00,25, 35038
338, 1619963.00, 9775586.00, 8582755.00,25, 35143
339, 1619956.00, 9775495.00, 8582318.00,25, 35248
340, 1620121.00, 9775200.00, 8581201.00,25, 35352
