Date: 28.2.2020 , In use by: Mena
Daytime: 15:29:51, Temperature: 20°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:29:52
344, 0.00, 5849891.00, 7467547.00, 18, 35398
345, 0.00, 5848815.00, 7468085.00, 18, 35502
346, 0.00, 5847615.00, 7469435.00, 18, 35605
347, 0.00, 5847633.00, 7469926.00, 18, 35709
348, 0.00, 5848087.00, 7470195.00, 18, 35812
349, 0.00, 5848237.00, 7470411.00, 18, 35916
350, 0.00, 5847358.00, 7470629.00, 18, 36019
351, 0.00, 5846611.00, 7471201.00, 18, 36123
352, 0.00, 5846737.00, 7471847.00, 18, 36226
353, 0.00, 5846752.00, 7472185.00, 18, 36330
354, 0.00, 5846381.00, 7472247.00, 18, 36433
355, 0.00, 5845984.00, 7472402.00, 18, 36537
356, 0.00, 5845890.00, 7472773.00, 18, 36641
357, 0.00, 5846054.00, 7473150.00, 18, 36744
358, 0.00, 5846175.00, 7473650.00, 18, 36848
