time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10
2019-12-20 16:35:36.935663,7891182.0,8485177.0,6903329.0,8436605.0,8476852.0,7808815.0,8399209.0,9311977.0,8939269.0,7875279.0
2019-12-20 16:35:37.050333,7886457.0,8476627.0,6930065.0,8435928.0,8478650.0,7808742.0,8399424.0,9311908.0,8939477.0,7875432.0
2019-12-20 16:35:37.164501,7902724.0,8474860.0,6959329.0,8435373.0,8477436.0,7808686.0,8399390.0,9311919.0,8939789.0,7875499.0
2019-12-20 16:35:37.283944,7872919.0,8493719.0,6346254.0,8443428.0,8478370.0,7808576.0,8399901.0,9311815.0,8939864.0,7875680.0
2019-12-20 16:35:37.398306,7344218.0,8538513.0,5483258.0,8454649.0,8479747.0,7808677.0,8399607.0,9311943.0,8939974.0,7875616.0
2019-12-20 16:35:37.513255,7232182.0,8563007.0,5088353.0,8458455.0,8476602.0,7808716.0,8399278.0,9311962.0,8940084.0,7875568.0
2019-12-20 16:35:37.627332,7277290.0,8560604.0,5141838.0,8458191.0,8477116.0,7808786.0,8399198.0,9311939.0,8940306.0,7875651.0
2019-12-20 16:35:37.742364,7281447.0,8559926.0,5248488.0,8456363.0,8474132.0,7808549.0,8399013.0,9311867.0,8940470.0,7875716.0
2019-12-20 16:35:37.860866,7723876.0,8521802.0,6202274.0,8442139.0,8474439.0,7808316.0,8398548.0,9311666.0,8940731.0,7875835.0
2019-12-20 16:35:37.976354,7971901.0,8469816.0,7141717.0,8430415.0,8478996.0,7808223.0,8399224.0,9311111.0,8941299.0,7875945.0
2019-12-20 16:35:38.090369,7916138.0,8484676.0,7101117.0,8432865.0,8478635.0,7808117.0,8399535.0,9311165.0,8941427.0,7876052.0
2019-12-20 16:35:38.205245,7800201.0,8486794.0,6717577.0,8439694.0,8480338.0,7808022.0,8399374.0,9311097.0,8941490.0,7876137.0
2019-12-20 16:35:38.319366,7652582.0,8506488.0,6286721.0,8445709.0,8481455.0,7808106.0,8399367.0,9311146.0,8941543.0,7876198.0
2019-12-20 16:35:38.438968,7704147.0,8506237.0,6325373.0,8444408.0,8475184.0,7808018.0,8399171.0,9311085.0,8941774.0,7876303.0
2019-12-20 16:35:38.552758,7630505.0,8507500.0,5358618.0,8447736.0,8474635.0,7807985.0,8399646.0,9311275.0,8941867.0,7876329.0
2019-12-20 16:35:38.667839,7179398.0,8572583.0,4930486.0,8457783.0,8474962.0,7808018.0,8399435.0,9311352.0,8941938.0,7876214.0
2019-12-20 16:35:38.782970,7184852.0,8572400.0,4926617.0,8459293.0,8475920.0,7808036.0,8398933.0,9311334.0,8942148.0,7876302.0
2019-12-20 16:35:38.896727,7202975.0,8570214.0,4971819.0,8459075.0,8475627.0,7807991.0,8398959.0,9311207.0,8942385.0,7876354.0
2019-12-20 16:35:39.015871,7210112.0,8569361.0,4996456.0,8458895.0,8475124.0,7807907.0,8399098.0,9311058.0,8942551.0,7876375.0
2019-12-20 16:35:39.130657,7209783.0,8568796.0,4993331.0,8458928.0,8475279.0,7807918.0,8399108.0,9310958.0,8942758.0,7876588.0
2019-12-20 16:35:39.245831,7213738.0,8568467.0,5001852.0,8459133.0,8476420.0,7807875.0,8399049.0,9311011.0,8943026.0,7876649.0
2019-12-20 16:35:39.360218,7216506.0,8568132.0,5008979.0,8459024.0,8476988.0,7807596.0,8399180.0,9310916.0,8943173.0,7876707.0
2019-12-20 16:35:39.475084,7225395.0,8567612.0,5028002.0,8458972.0,8477833.0,7807692.0,8399268.0,9310842.0,8943368.0,7876768.0
2019-12-20 16:35:39.593505,7251791.0,8562700.0,5085090.0,8458932.0,8477048.0,7807582.0,8399153.0,9310744.0,8943735.0,7876853.0
2019-12-20 16:35:39.708511,7291269.0,8558043.0,5191897.0,8457630.0,8476278.0,7807513.0,8399119.0,9310516.0,8943886.0,7876958.0
2019-12-20 16:35:39.822797,7293059.0,8558412.0,5165166.0,8457792.0,8476541.0,7807444.0,8399215.0,9310492.0,8944047.0,7877036.0
2019-12-20 16:35:39.938023,7267166.0,8560362.0,5140436.0,8457975.0,8476483.0,7807347.0,8399085.0,9310467.0,8944236.0,7877089.0
2019-12-20 16:35:40.052397,7250586.0,8563895.0,5102101.0,8458243.0,8475393.0,7807310.0,8399161.0,9310393.0,8944365.0,7877266.0
2019-12-20 16:35:40.170986,7232271.0,8565372.0,5050711.0,8458628.0,8476712.0,7807340.0,8399173.0,9310311.0,8944510.0,7877368.0
2019-12-20 16:35:40.285587,7271423.0,8562909.0,5139470.0,8458240.0,8477187.0,7807164.0,8399129.0,9310180.0,8944654.0,7877457.0
2019-12-20 16:35:40.400718,7306020.0,8559106.0,5228659.0,8457799.0,8476876.0,7807076.0,8399150.0,9310087.0,8945042.0,7877503.0
2019-12-20 16:35:40.515699,7319149.0,8554515.0,5273793.0,8457605.0,8478756.0,7807054.0,8399173.0,9310020.0,8945254.0,7877596.0
2019-12-20 16:35:40.630020,7321537.0,8553018.0,5274420.0,8457175.0,8478288.0,7806958.0,8399095.0,9309838.0,8945381.0,7877651.0
2019-12-20 16:35:40.748537,7346679.0,8551220.0,5343243.0,8456964.0,8479196.0,7806763.0,8399071.0,9309714.0,8945466.0,7877647.0
2019-12-20 16:35:40.863172,7351412.0,8550513.0,5355363.0,8456869.0,8479298.0,7806715.0,8399176.0,9309680.0,8945528.0,7877724.0
2019-12-20 16:35:40.978429,7364435.0,8546741.0,5389154.0,8456608.0,8479822.0,7806792.0,8399080.0,9309598.0,8945772.0,7877929.0
2019-12-20 16:35:41.092793,7390968.0,8543757.0,5496378.0,8455396.0,8478054.0,7806645.0,8399212.0,9309439.0,8946005.0,7878017.0
2019-12-20 16:35:41.207694,7423742.0,8541915.0,5550264.0,8454984.0,8479490.0,7806550.0,8399180.0,9309329.0,8946170.0,7877971.0
2019-12-20 16:35:41.326034,7422798.0,8540160.0,5551688.0,8455013.0,8478314.0,7806443.0,8399268.0,9309278.0,8946256.0,7877987.0
2019-12-20 16:35:41.440764,7426195.0,8540219.0,5558539.0,8454925.0,8478692.0,7806372.0,8399295.0,9309289.0,8946394.0,7878109.0
